,venue_name,venue_latitude,venue_longitude,locality,average_price_for_two,price_range,aggregate_rating,votes
3,Deja Vu Buffet Bar,12.9011933052,77.5949777663,JP Nagar,1400,3,3.8,3965
4,The Pump House,12.9062866277,77.5820981339,JP Nagar,2000,4,4.5,2109
5,The Yellow Submarine,12.8975558545,77.5996109471,Bannerghatta Road,1500,3,4.4,2743
6,Kesariya,12.9065827137,77.5898909569,JP Nagar,1200,3,4.3,1378
4,Sotally Tober,12.9318029864,77.6322041452,Koramangala 4th Block,1200,3,4.1,5307
5,The Bier Library,12.9390760000,77.6260650000,Koramangala 6th Block,2000,4,4.1,3117
6,Nasi And Mee,12.9348033940,77.6291715726,Koramangala 4th Block,1000,3,4.5,3166
7,Brooks & Bonds Brewery,12.9340998602,77.6233813539,Koramangala 5th Block,1600,3,3.9,5802
8,Third Wave Coffee Roasters,12.9345736756,77.6293750852,Koramangala 4th Block,750,2,4.4,1694
1,Le Arabia,12.9984827851,77.5425053760,Basaveshwara Nagar,800,2,4.2,9713
2,Nandhana Palace,12.9889300047,77.5502817705,Rajajinagar,800,2,4.1,2638
3,Imperio Restaurant,12.9856326241,77.5490811467,Rajajinagar,900,2,3.9,13147
4,Priyadarshini Grand,12.9901704723,77.5377746299,Basaveshwara Nagar,200,1,4.3,1307
5,Hotel Aditya,13.0036149537,77.5434719771,Rajajinagar,300,1,4.4,595
6,Burger King,12.9970159650,77.5479214266,Rajajinagar,500,2,4.0,14143
7,Pizza Hut,12.9972681672,77.5404062122,Basaveshwara Nagar,600,2,3.4,4475
8,Sree Banashankari Donne Biriyani,12.9879825799,77.5454561412,Rajajinagar,250,1,4.0,7264
5,1947,13.0055541083,77.5692523643,Malleshwaram,1100,3,4.0,1327
6,Pebble,13.0048899756,77.5845479965,Sadashiv Nagar,2000,4,3.8,535
7,The Orchard,13.0046456214,77.5811053813,Sadashiv Nagar,700,2,3.9,845
8,Mumbai Bistro,13.0019116474,77.5722695142,Malleshwaram,250,1,4.0,1255
1,San Churro Cafe,12.9277401901,77.5619892776,Banashankari,800,2,3.8,1755
2,Gustoes Beer House,12.9270774837,77.5614511594,Banashankari,1200,3,3.9,1330
3,Caf-Eleven,12.9234858326,77.5548824295,Banashankari,700,2,3.9,490
4,Ayodhya Upachar,12.9285296842,77.5456388667,Banashankari,500,2,4.1,48335
5,The Biryani Cafe,12.9430920694,77.5416286290,Banashankari,600,2,3.6,4025
6,Taaza Thindi,12.9263954955,77.5483827665,Banashankari,100,1,4.7,855
7,Pent House Cafe,12.9259203575,77.5608077645,Banashankari,700,2,3.7,599
8,1947,12.9227456670,77.5565353408,Banashankari,1100,3,4.0,1287
1,Empire Restaurant,12.9793964595,77.5749369711,Majestic,800,2,4.1,8954
2,Chikkanna Tiffin Room,12.9684200640,77.5842613354,City Market,200,1,4.2,391
3,Karnataka Bhel House,12.9593088566,77.5672869757,Basavanagudi,100,1,4.2,1530
4,B Bhagat Tarachand,12.9690401864,77.5770163536,City Market,500,2,4.0,942
5,Fishland,12.9753628636,77.5785425305,Majestic,500,2,4.2,339
6,New Modern Hotel,12.9542522312,77.5787876174,Basavanagudi,150,1,4.2,321
7,Hotel Navayuga,12.9760786961,77.5754311681,Majestic,500,2,4.2,705
8,Nandhini Deluxe,12.9552880048,77.5793424994,Basavanagudi,850,2,3.8,6444
0,Here & Now,12.9135310000,77.6383320000,HSR,900,2,4.7,1845
1,Once Upon A Flame,12.9118831168,77.6379722357,HSR,1400,3,4.5,4183
2,Shift,12.9118066459,77.6388298720,HSR,1800,3,3.8,2655
3,Al Daaz,12.9207816850,77.6514137909,HSR,450,1,4.3,34194
4,Mumbai Tiffin,12.9120457664,77.6471320480,HSR,400,1,4.4,31429
5,Leon Grill,12.9117233122,77.6438345388,HSR,650,2,4.3,29591
6,The Rasoiya Street,12.9122827912,77.6430603862,HSR,800,2,3.8,3368
7,House Of Commons,12.9118720056,77.6389267668,HSR,1300,3,4.2,5651
8,Seven Ate Nine,12.9122439022,77.6437295973,HSR,700,2,4.0,4358
0,Al Amanah Cafe,13.0155439769,77.6395212114,Kammanahalli,300,1,4.3,17220
1,BYLI - Bet You Love It!,13.0226850440,77.6397498697,Kalyan Nagar,800,2,4.4,2146
2,Brewklyn Microbrewery,13.0215446953,77.6405069232,Kalyan Nagar,1800,3,4.3,3585
3,Connie's Restaurant & Steakhouse,13.0148207450,77.6329937205,Kammanahalli,1500,3,4.4,5265
