,Name,Latitude,Longitude,Category
79,Priyadarshini Grand,12.990234880192782,77.53801956889775,Fast Food Restaurant
80,Cinepolis,12.876119022912667,77.5954554873148,Multiplex
81,Toscano,13.011712771648241,77.5559680946897,Italian Restaurant
82,Decathlon,12.901168796926692,77.70714121542646,Sporting Goods Shop
83,Debenhams,13.011302249264084,77.55505363146068,Clothing Store
84,1947,12.982884591952303,77.5488088370366,Asian Restaurant
85,Art of Living International Center,12.844607157018006,77.50734329223633,Spiritual Center
86,Kanti Sweets,12.911081427702225,77.55168981800485,Bakery
87,Shiva's Chats,12.94162322051774,77.56061042550876,Snack Place
88,Polar Bear,12.991461009778394,77.5388324589418,Ice Cream Shop
89,Sagar Fast Food,12.996622810426281,77.55417938115737,Fast Food Restaurant
90,Forum Shantiniketan Mall,12.989625651781955,77.72821977157828,Shopping Mall
91,Cafe Noir,13.01139977289809,77.55529496797065,French Restaurant
92,PVR Vaishnavi,13.024152437053164,77.5487332275143,Multiplex
93,Park View,12.972910294178202,77.53945662117336,Indian Restaurant
94,Starbucks,13.011156506583225,77.55510123373591,Coffee Shop
95,High Ultra Lounge,13.012204030484249,77.55592914848897,Lounge
96,Feast,13.012277731112103,77.55508769740138,Coffee Shop
97,Imagine,13.010891529457945,77.55501346342787,Electronics Store
98,Decathlon,13.168697398893203,77.63238890489083,Bike Shop
99,Chili's,13.011296998383997,77.55511412782283,Mexican Restaurant
